Invoice No,Invoice Date,GSTIN of Supplier,Supplier Name,Taxable Value,Integrated Tax,Central Tax,State/UT Tax,Cess,HSN/SAC,Place of Supply,IMS Status,Note Type
INV-MAR-001,01-03-2026,27AABCS1429B1Z8,Sharma Infrastructure Pvt Ltd,250000,45000,0,0,0,9954,27,No Action,
INV-MAR-002,03-03-2026,29AACCS9460D1Z4,TechCorp Solutions LLP,85000,0,7650,7650,0,8471,29,Accepted,
INV-MAR-003,05-03-2026,06AAKCA0977G1Z3,Allied Services Ltd,42000,7560,0,0,0,9985,06,Accepted,
INV-MAR-004,07-03-2026,33AABCT6996D1ZX,Tamil Traders Company,120000,0,10800,10800,0,3004,33,No Action,
INV-MAR-005,10-03-2026,07AAACN0082H1ZJ,Naresh Enterprises Delhi,65000,11700,0,0,0,7318,07,Accepted,
INV-MAR-006,12-03-2026,19AABCP8087C1ZV,Patel Chemicals & Co,310000,55800,0,0,2500,2902,19,No Action,
INV-MAR-007,15-03-2026,24AABCR6898D1ZY,Rajan Textiles Exports,38000,0,3420,3420,0,5208,24,Accepted,
INV-MAR-008,18-03-2026,36AAACV1234P1ZH,Vijay Auto Components,175000,31500,0,0,0,8708,36,Accepted,
INV-MAR-009,20-03-2026,09AABCM4567R1ZK,Mohan & Sons Kanpur,92000,16560,0,0,0,6403,09,No Action,
INV-MAR-010,22-03-2026,32AABCK1112B1ZP,Kerala Logistics Hub,55000,0,4950,4950,0,9965,32,Accepted,
INV-MAR-011,24-03-2026,27AABCS1429B1Z8,Sharma Infrastructure Pvt Ltd,180500,32490,0,0,0,9954,27,No Action,
INV-MAR-012,25-03-2026,29AACCS9460D1Z4,TechCorp Solutions LLP,45000,0,4050,4050,0,8523,29,Accepted,
INV-MAR-015,30-03-2026,24AABCL5566H1ZR,Legal Advisory Services,25000,4500,0,0,0,9982,29,Accepted,
CN-MAR-001,31-03-2026,06AAKCA0977G1Z3,Allied Services Ltd,-12000,-2160,0,0,0,9985,06,Accepted,Credit Note
EXTRA-2B-001,16-03-2026,34AABCF5678G1ZM,Ferrous Metals Pondicherry,67500,0,6075,6075,0,7208,34,No Action,
